BT29#3 Bed#117483#550#5.0
BT5#3 Bed#152606#693#5.0
BT7#3 Bed#175000#776#5.0
CA28#3 Bed#128686#553#5.0
CF11#3 Bed#236520#1121#5.0
CF31#3 Bed#157126#688#5.0
CF33#3 Bed#146636#650#5.0
CF34#3 Bed#111238#483#5.0
CF37#3 Bed#127982#582#5.0
CF41#3 Bed#94285#462#5.0
CF45#3 Bed#102805#458#5.0
CH44#3 Bed#107034#532#5.0
CH65#3 Bed#144897#645#5.0
CH66#3 Bed#165959#706#5.0
CO2#3 Bed#281283#1227#5.0
CR6#3 Bed#457966#2243#5.0
CT9#3 Bed#281130#1208#5.0
CV21#3 Bed#224932#1015#5.0
CV3#3 Bed#235008#1003#5.0
CV4#3 Bed#258467#1226#5.0
CV6#3 Bed#175451#758#5.0
CW1#3 Bed#146940#670#5.0
CW7#3 Bed#156983#664#5.0
DD10#3 Bed#141516#650#5.0
DE24#3 Bed#153875#652#5.0
DG1#3 Bed#148856#676#5.0
DG10#3 Bed#164999#750#5.0
DH4#3 Bed#121584#521#5.0
DH7#3 Bed#109258#510#5.0
DH9#3 Bed#100363#461#5.0
DL1#3 Bed#117753#576#5.0
DL4#3 Bed#87495#408#5.0
DL5#3 Bed#132207#565#5.0
DN1#3 Bed#106488#444#5.0
DN16#3 Bed#125808#545#5.0
DN2#3 Bed#125060#559#5.0
DN3#3 Bed#142291#635#5.0
DN34#3 Bed#120553#527#5.0
DN35#3 Bed#107529#534#5.0
DN36#3 Bed#181988#783#5.0
DN4#3 Bed#136051#614#5.0
DN5#3 Bed#129646#568#5.0
DN6#3 Bed#123970#526#5.0
DT1#3 Bed#332426#1499#5.0
DY1#3 Bed#162091#678#5.0
DY4#3 Bed#142651#695#5.0
E6#3 Bed#408724#1759#5.0
EC4A#3 Bed#1475000#6500#5.0
EH11#3 Bed#246667#1200#5.0
EH16#3 Bed#286375#1270#5.0
EH17#3 Bed#224001#975#5.0
EH19#3 Bed#178200#802#5.0
EH23#3 Bed#179833#823#5.0
EH28#3 Bed#211667#1001#5.0
EH29#3 Bed#185990#776#5.0
EH54#3 Bed#174804#773#5.0
FK4#3 Bed#168000#750#5.0
FY2#3 Bed#136093#643#5.0
FY3#3 Bed#134057#607#5.0
FY5#3 Bed#156902#655#5.0
FY7#3 Bed#123338#607#5.0
FY8#3 Bed#193780#816#5.0
G46#3 Bed#239833#1148#5.0
G69#3 Bed#161276#758#5.0
G73#3 Bed#194153#880#5.0
G75#3 Bed#134150#646#5.0
G76#3 Bed#223571#975#5.0
HD1#3 Bed#172083#826#5.0
HD4#3 Bed#164747#785#5.0
HD5#3 Bed#159977#743#5.0
HU1#3 Bed#230000#973#5.0
HU19#3 Bed#104266#494#5.0
HU6#3 Bed#122788#513#5.0
HU7#3 Bed#133110#617#5.0
HU9#3 Bed#118104#557#5.0
HX2#3 Bed#144045#605#5.0
HX7#3 Bed#231211#997#5.0
IP27#3 Bed#235822#1058#5.0
IV2#3 Bed#192753#888#5.0
IV27#3 Bed#177200#750#5.0
IV6#3 Bed#170125#776#5.0
KA12#3 Bed#118790#524#5.0
KA15#3 Bed#128568#576#5.0
KY1#3 Bed#152310#663#5.0
KY16#3 Bed#251658#1106#5.0
KY5#3 Bed#118454#535#5.0
KY6#3 Bed#113041#552#5.0
KY7#3 Bed#126309#556#5.0
KY8#3 Bed#119046#550#5.0
L14#3 Bed#132339#628#5.0
L15#3 Bed#174245#813#5.0
L17#3 Bed#195350#956#5.0
L22#3 Bed#177327#750#5.0
L24#3 Bed#132489#622#5.0
L26#3 Bed#155448#765#5.0
L28#3 Bed#112916#511#5.0
L32#3 Bed#124745#579#5.0
L34#3 Bed#175018#746#5.0
L35#3 Bed#151118#650#5.0
L36#3 Bed#139084#636#5.0
L5#3 Bed#117076#566#5.0
LA13#3 Bed#198199#831#5.0
LA16#3 Bed#125968#585#5.0
LE1#3 Bed#219000#1090#5.0
LE14#3 Bed#316522#1452#5.0
LL12#3 Bed#179466#894#5.0
LL13#3 Bed#165969#750#5.0
LL57#3 Bed#144182#715#5.0
LS11#3 Bed#127737#598#5.0
LS12#3 Bed#172409#773#5.0
LS6#3 Bed#212803#934#5.0
M19#3 Bed#205841#876#5.0
M20#3 Bed#243524#1053#5.0
M24#3 Bed#149535#743#5.0
M26#3 Bed#162300#700#5.0
M40#3 Bed#153175#708#5.0
M43#3 Bed#155187#698#5.0
M44#3 Bed#165714#802#5.0
M46#3 Bed#157384#679#5.0
M8#3 Bed#172433#838#5.0
M9#3 Bed#146755#696#5.0
ME20#3 Bed#298221#1256#5.0
ME4#3 Bed#239434#1045#5.0
ML1#3 Bed#134266#588#5.0
ML8#3 Bed#158190#674#5.0
NE11#3 Bed#158270#676#5.0
NE12#3 Bed#166029#703#5.0
NE13#3 Bed#204174#975#5.0
NE20#3 Bed#312597#1502#5.0
NE29#3 Bed#151511#650#5.0
NE3#3 Bed#186554#793#5.0
NE31#3 Bed#140477#594#5.0
NE33#3 Bed#140945#624#5.0
NE37#3 Bed#118774#537#5.0
NE5#3 Bed#135619#585#5.0
NE62#3 Bed#114137#545#5.0
NE63#3 Bed#107680#481#5.0
NE64#3 Bed#97330#429#5.0
NG13#3 Bed#233406#1073#5.0
NG20#3 Bed#122486#575#5.0
NG22#3 Bed#187796#851#5.0
NG3#3 Bed#189970#820#5.0
NG6#3 Bed#143615#656#5.0
NN17#3 Bed#208788#917#5.0
NN7#3 Bed#299861#1337#5.0
NP13#3 Bed#91614#420#5.0
NP24#3 Bed#87849#435#5.0
OL10#3 Bed#140152#587#5.0
OL11#3 Bed#157320#659#5.0
OL16#3 Bed#162354#679#5.0
OL8#3 Bed#131337#588#5.0
OX25#3 Bed#396454#1751#5.0
OX33#3 Bed#484000#2326#5.0
OX4#3 Bed#387126#1618#5.0
PA2#3 Bed#155432#724#5.0
PA3#3 Bed#110688#477#5.0
PA4#3 Bed#167121#787#5.0
PE21#3 Bed#176889#740#5.0
PE3#3 Bed#197493#827#5.0
PH12#3 Bed#166400#724#5.0
PH33#3 Bed#179167#867#5.0
PL13#3 Bed#271937#1200#5.0
PL21#3 Bed#250093#1244#5.0
PL4#3 Bed#185612#782#5.0
PL5#3 Bed#178527#799#5.0
PO1#3 Bed#224728#972#5.0
PO4#3 Bed#253510#1105#5.0
RH20#3 Bed#397148#1812#5.0
RM10#3 Bed#330757#1464#5.0
RM8#3 Bed#350138#1614#5.0
RM9#3 Bed#348342#1474#5.0
S18#3 Bed#262500#1143#5.0
S2#3 Bed#139312#618#5.0
S4#3 Bed#110441#477#5.0
S5#3 Bed#113922#563#5.0
S65#3 Bed#127040#541#5.0
S74#3 Bed#127154#533#5.0
S81#3 Bed#178133#780#5.0
S9#3 Bed#115866#559#5.0
SA1#3 Bed#134298#657#5.0
SA10#3 Bed#145578#631#5.0
SA11#3 Bed#116510#500#5.0
SA12#3 Bed#117269#503#5.0
SA13#3 Bed#110592#483#5.0
SA5#3 Bed#128145#573#5.0
SA6#3 Bed#134690#575#5.0
SA72#3 Bed#150863#676#5.0
SK5#3 Bed#177946#807#5.0
SL6#3 Bed#520113#2293#5.0
SR4#3 Bed#112875#553#5.0
SR5#3 Bed#105524#511#5.0
SS14#3 Bed#274067#1168#5.0
TF2#3 Bed#158322#677#5.0
TF3#3 Bed#149266#633#5.0
TF4#3 Bed#185705#778#5.0
TF5#3 Bed#171982#750#5.0
TS10#3 Bed#133492#637#5.0
TS17#3 Bed#105149#507#5.0
TS18#3 Bed#136696#580#5.0
TS19#3 Bed#108682#512#5.0
TS20#3 Bed#111937#536#5.0
TS23#3 Bed#106645#504#5.0
TS24#3 Bed#97135#472#5.0
TS25#3 Bed#102740#461#5.0
TS27#3 Bed#114442#486#5.0
TS6#3 Bed#111164#537#5.0
WA1#3 Bed#175080#816#5.0
WA11#3 Bed#149357#630#5.0
WA13#3 Bed#277990#1185#5.0
WA2#3 Bed#170845#713#5.0
WA9#3 Bed#133764#591#5.0
WF15#3 Bed#195838#938#5.0
WF16#3 Bed#136496#587#5.0
WF5#3 Bed#186263#817#5.0
WF7#3 Bed#153914#693#5.0
WN4#3 Bed#150654#657#5.0
WN8#3 Bed#129844#543#5.0
WS10#3 Bed#149698#636#5.0
WS2#3 Bed#131625#573#5.0
WV13#3 Bed#145762#644#5.0
WV14#3 Bed#155982#666#5.0
WV2#3 Bed#131450#651#5.0
YO60#3 Bed#241488#1023#5.0
AB12#3 Bed#228959#877#4.0
AB15#3 Bed#325705#1343#4.0
AB25#3 Bed#303331#1160#4.0
AB32#3 Bed#265000#925#4.0
AB33#3 Bed#201240#763#4.0
AB41#3 Bed#215300#724#4.0
AB42#3 Bed#161333#594#4.0
AB45#3 Bed#161911#650#4.0
AB51#3 Bed#209596#850#4.0
AL10#3 Bed#388702#1311#4.0
AL7#3 Bed#377684#1268#4.0
B10#3 Bed#171215#674#4.0
B12#3 Bed#186250#720#4.0
B13#3 Bed#233753#903#4.0
B14#3 Bed#234808#855#4.0
B20#3 Bed#202703#699#4.0
B23#3 Bed#180591#730#4.0
B24#3 Bed#222655#810#4.0
B26#3 Bed#209636#803#4.0
B28#3 Bed#244268#857#4.0
B29#3 Bed#251811#918#4.0
B31#3 Bed#194143#758#4.0
B32#3 Bed#201705#793#4.0
B34#3 Bed#196181#785#4.0
B43#3 Bed#218104#769#4.0
B45#3 Bed#221968#811#4.0
B62#3 Bed#234420#849#4.0
B63#3 Bed#202236#812#4.0
B65#3 Bed#168610#676#4.0
B67#3 Bed#194825#707#4.0
B69#3 Bed#177050#685#4.0
B71#3 Bed#188739#658#4.0
B73#3 Bed#311458#1049#4.0
B74#3 Bed#405101#1397#4.0
B76#3 Bed#276232#938#4.0
B77#3 Bed#208838#736#4.0
B78#3 Bed#249760#843#4.0
B79#3 Bed#225597#794#4.0
B80#3 Bed#252217#849#4.0
B97#3 Bed#251182#857#4.0
B98#3 Bed#199141#739#4.0
BA12#3 Bed#338672#1174#4.0
BA13#3 Bed#261168#1041#4.0
BA2#3 Bed#369109#1383#4.0
BA21#3 Bed#195536#780#4.0
BA8#3 Bed#277459#1101#4.0
BA9#3 Bed#279256#1017#4.0
BB1#3 Bed#151636#582#4.0
BB10#3 Bed#153880#523#4.0
BB2#3 Bed#150425#576#4.0
BB3#3 Bed#136821#519#4.0
BB4#3 Bed#189753#636#4.0
BB5#3 Bed#138899#516#4.0
BB7#3 Bed#237318#867#4.0
BD12#3 Bed#143576#537#4.0
BD13#3 Bed#176890#594#4.0
BD17#3 Bed#204711#761#4.0
BD18#3 Bed#154452#617#4.0
BD22#3 Bed#163053#676#4.0
BD7#3 Bed#117150#483#4.0
BH10#3 Bed#325590#1271#4.0
BH12#3 Bed#293850#1156#4.0
BH14#3 Bed#492993#1644#4.0
BH15#3 Bed#338963#1316#4.0
BH31#3 Bed#367912#1248#4.0
BH4#3 Bed#659714#2492#4.0
BH8#3 Bed#336525#1214#4.0
BH9#3 Bed#331609#1252#4.0
BL0#3 Bed#242486#812#4.0
BL1#3 Bed#189467#710#4.0
BL2#3 Bed#172780#644#4.0
BL8#3 Bed#220895#752#4.0
BN1#3 Bed#508546#1793#4.0
BN10#3 Bed#317739#1261#4.0
BN11#3 Bed#331980#1174#4.0
BN14#3 Bed#355600#1199#4.0
BN17#3 Bed#290439#1085#4.0
BN20#3 Bed#372423#1344#4.0
BN22#3 Bed#295084#1065#4.0
BN23#3 Bed#291378#1155#4.0
BN27#3 Bed#323066#1106#4.0
BN41#3 Bed#369639#1442#4.0
BN42#3 Bed#354538#1400#4.0
BN44#3 Bed#385188#1599#4.0
BR5#3 Bed#438287#1520#4.0
BR8#3 Bed#369026#1318#4.0
BS10#3 Bed#286785#1138#4.0
BS14#3 Bed#286379#998#4.0
BS15#3 Bed#253918#952#4.0
BS16#3 Bed#307980#1048#4.0
BS24#3 Bed#247344#860#4.0
BS3#3 Bed#334947#1254#4.0
BS30#3 Bed#305581#1042#4.0
BS32#3 Bed#298676#1029#4.0
BS34#3 Bed#279240#1049#4.0
BS37#3 Bed#272493#947#4.0
BS4#3 Bed#282658#1121#4.0
BS49#3 Bed#250825#949#4.0
BS6#3 Bed#490000#1805#4.0
BS9#3 Bed#422005#1431#4.0
BT25#3 Bed#123774#425#4.0
BT26#3 Bed#209629#724#4.0
BT38#3 Bed#143762#544#4.0
BT41#3 Bed#128280#484#4.0
BT67#3 Bed#175104#598#4.0
CA1#3 Bed#131565#503#4.0
CA14#3 Bed#141142#556#4.0
CA18#3 Bed#175000#585#4.0
CA2#3 Bed#143010#506#4.0
CA22#3 Bed#149991#540#4.0
CA26#3 Bed#117600#476#4.0
CA3#3 Bed#169139#583#4.0
CA6#3 Bed#195846#663#4.0
CB23#3 Bed#332137#1147#4.0
CF15#3 Bed#259000#890#4.0
CF23#3 Bed#290051#1013#4.0
CF3#3 Bed#217643#808#4.0
CF35#3 Bed#182821#698#4.0
CF36#3 Bed#247162#875#4.0
CF38#3 Bed#172576#676#4.0
CF39#3 Bed#108628#446#4.0
CF46#3 Bed#136550#545#4.0
CF48#3 Bed#134115#500#4.0
CF5#3 Bed#260779#925#4.0
CF61#3 Bed#205413#721#4.0
CF63#3 Bed#165885#608#4.0
CF72#3 Bed#202642#800#4.0
CF82#3 Bed#144185#572#4.0
CH2#3 Bed#246497#853#4.0
CH4#3 Bed#216949#724#4.0
CH43#3 Bed#162831#668#4.0
CH46#3 Bed#164350#650#4.0
CH47#3 Bed#259150#949#4.0
CH49#3 Bed#205636#713#4.0
CH5#3 Bed#164222#656#4.0
CH62#3 Bed#167430#690#4.0
CH63#3 Bed#223091#746#4.0
CH8#3 Bed#183797#729#4.0
CM18#3 Bed#308730#1200#4.0
CM20#3 Bed#322241#1174#4.0
CM5#3 Bed#476369#1699#4.0
CM6#3 Bed#392170#1352#4.0
CM7#3 Bed#346205#1186#4.0
CM8#3 Bed#291977#1095#4.0
CO1#3 Bed#273474#1106#4.0
CO12#3 Bed#239781#873#4.0
CO15#3 Bed#254683#982#4.0
CO16#3 Bed#294300#1101#4.0
CO4#3 Bed#282699#1032#4.0
CO9#3 Bed#326772#1099#4.0
CR0#3 Bed#429316#1504#4.0
CR4#3 Bed#454607#1643#4.0
