BT38#5 Bed#272475#0#0.0
BT41#5 Bed#395000#0#0.0
BT47#5 Bed#320000#0#0.0
BT5#5 Bed#320000#0#0.0
BT55#5 Bed#249500#0#0.0
BT60#5 Bed#199950#0#0.0
BT67#5 Bed#323725#0#0.0
BT71#5 Bed#195000#0#0.0
BT8#5 Bed#190000#0#0.0
CA1#5 Bed#165750#0#0.0
CA10#5 Bed#432494#0#0.0
CA11#5 Bed#502750#0#0.0
CA14#5 Bed#322494#0#0.0
CA15#5 Bed#236650#0#0.0
CA16#5 Bed#359167#0#0.0
CA17#5 Bed#377000#0#0.0
CA19#5 Bed#364950#0#0.0
CA2#5 Bed#329983#0#0.0
CA21#5 Bed#342000#0#0.0
CA22#5 Bed#216225#0#0.0
CA23#5 Bed#318450#0#0.0
CA25#5 Bed#275000#0#0.0
CA26#5 Bed#265000#0#0.0
CA27#5 Bed#355000#0#0.0
CA28#5 Bed#262190#0#0.0
CA3#5 Bed#518333#0#0.0
CA4#5 Bed#454746#0#0.0
CA5#5 Bed#464975#0#0.0
CA6#5 Bed#408000#0#0.0
CA7#5 Bed#403564#0#0.0
CA8#5 Bed#402677#0#0.0
CA9#5 Bed#285000#0#0.0
CB10#5 Bed#769165#0#0.0
CB11#5 Bed#793990#0#0.0
CB2#5 Bed#1117499#0#0.0
CB21#5 Bed#824500#0#0.0
CB22#5 Bed#839990#0#0.0
CB24#5 Bed#687499#0#0.0
CB25#5 Bed#733736#0#0.0
CB3#5 Bed#1222500#0#0.0
CB8#5 Bed#612628#0#0.0
CB9#5 Bed#468994#0#0.0
CF15#5 Bed#489989#0#0.0
CF3#5 Bed#752217#0#0.0
CF31#5 Bed#345972#0#0.0
CF32#5 Bed#366612#0#0.0
CF33#5 Bed#155000#0#0.0
CF34#5 Bed#492500#0#0.0
CF35#5 Bed#485537#0#0.0
CF38#5 Bed#414800#0#0.0
CF39#5 Bed#232980#0#0.0
CF40#5 Bed#247498#0#0.0
CF41#5 Bed#164950#0#0.0
CF42#5 Bed#257488#0#0.0
CF44#5 Bed#699950#0#0.0
CF46#5 Bed#316667#0#0.0
CF47#5 Bed#215000#0#0.0
CF48#5 Bed#446225#0#0.0
CF5#5 Bed#436100#0#0.0
CF61#5 Bed#296650#0#0.0
CF62#5 Bed#428491#0#0.0
CF63#5 Bed#283333#0#0.0
CF81#5 Bed#349950#0#0.0
CF82#5 Bed#361650#0#0.0
CF83#5 Bed#362238#0#0.0
CH2#5 Bed#517268#394#0.0
CH4#5 Bed#536100#0#0.0
CH41#5 Bed#167498#0#0.0
CH42#5 Bed#216799#0#0.0
CH44#5 Bed#156250#0#0.0
CH46#5 Bed#380000#0#0.0
CH47#5 Bed#440000#0#0.0
CH49#5 Bed#389950#0#0.0
CH5#5 Bed#377679#0#0.0
CH6#5 Bed#240000#0#0.0
CH60#5 Bed#775260#0#0.0
CH61#5 Bed#781250#0#0.0
CH63#5 Bed#457135#0#0.0
CH65#5 Bed#365000#0#0.0
CH66#5 Bed#512500#0#0.0
CH7#5 Bed#488073#0#0.0
CH8#5 Bed#539167#0#0.0
CM0#5 Bed#425000#0#0.0
CM11#5 Bed#901154#0#0.0
CM12#5 Bed#866125#0#0.0
CM13#5 Bed#791667#0#0.0
CM14#5 Bed#1142855#0#0.0
CM15#5 Bed#921500#0#0.0
CM17#5 Bed#643344#0#0.0
CM19#5 Bed#1109824#0#0.0
CM2#5 Bed#677282#0#0.0
CM20#5 Bed#490312#0#0.0
CM24#5 Bed#641053#0#0.0
CM4#5 Bed#1550833#0#0.0
CM7#5 Bed#502750#0#0.0
CM77#5 Bed#562059#0#0.0
CM8#5 Bed#686197#0#0.0
CM9#5 Bed#636874#0#0.0
CO10#5 Bed#655400#0#0.0
CO11#5 Bed#482500#0#0.0
CO13#5 Bed#605000#0#0.0
CO14#5 Bed#387498#0#0.0
CO15#5 Bed#387937#0#0.0
CO16#5 Bed#564866#0#0.0
CO5#5 Bed#610995#0#0.0
CO9#5 Bed#463350#0#0.0
CR6#5 Bed#1244994#0#0.0
CT10#5 Bed#721655#0#0.0
CT11#5 Bed#435186#0#0.0
CT12#5 Bed#727000#0#0.0
CT14#5 Bed#548125#0#0.0
CT15#5 Bed#1081667#0#0.0
CT16#5 Bed#383049#0#0.0
CT17#5 Bed#446664#0#0.0
CT19#5 Bed#436026#0#0.0
CT20#5 Bed#692500#0#0.0
CT21#5 Bed#643673#0#0.0
CT3#5 Bed#734545#0#0.0
CT6#5 Bed#490464#0#0.0
CT7#5 Bed#692781#0#0.0
CT8#5 Bed#535000#0#0.0
CV10#5 Bed#395000#0#0.0
CV11#5 Bed#447221#0#0.0
CV12#5 Bed#490000#0#0.0
CV13#5 Bed#662488#0#0.0
CV21#5 Bed#421667#0#0.0
CV22#5 Bed#530901#0#0.0
CV33#5 Bed#813333#0#0.0
CV34#5 Bed#660748#0#0.0
CV36#5 Bed#683180#0#0.0
CV9#5 Bed#483894#0#0.0
CW10#5 Bed#541658#0#0.0
CW11#5 Bed#541562#0#0.0
CW2#5 Bed#593385#425#0.0
CW4#5 Bed#433333#0#0.0
CW5#5 Bed#462204#0#0.0
CW7#5 Bed#324286#0#0.0
CW8#5 Bed#668666#0#0.0
CW9#5 Bed#469106#0#0.0
DA1#5 Bed#576250#0#0.0
DA10#5 Bed#669995#0#0.0
DA12#5 Bed#705000#576#0.0
DA13#5 Bed#625750#0#0.0
DA14#5 Bed#649444#0#0.0
DA16#5 Bed#499187#0#0.0
DA17#5 Bed#400000#0#0.0
DA2#5 Bed#776111#0#0.0
DA5#5 Bed#817667#0#0.0
DA6#5 Bed#571250#0#0.0
DA7#5 Bed#542500#0#0.0
DA9#5 Bed#611667#0#0.0
DD1#5 Bed#230000#0#0.0
DD10#5 Bed#340750#0#0.0
DD11#5 Bed#332650#0#0.0
DD3#5 Bed#397500#0#0.0
DD5#5 Bed#374998#0#0.0
DD9#5 Bed#269999#0#0.0
DE1#5 Bed#607475#348#0.0
DE11#5 Bed#359994#0#0.0
DE12#5 Bed#524240#0#0.0
DE15#5 Bed#431166#0#0.0
DE21#5 Bed#380000#0#0.0
DE4#5 Bed#472419#0#0.0
DE45#5 Bed#1332500#0#0.0
DE5#5 Bed#487488#0#0.0
DE55#5 Bed#521154#0#0.0
DE56#5 Bed#663921#0#0.0
DE6#5 Bed#617938#0#0.0
DE7#5 Bed#449219#0#0.0
DE72#5 Bed#687158#0#0.0
DE75#5 Bed#416225#0#0.0
DG1#5 Bed#341662#0#0.0
DG10#5 Bed#356000#0#0.0
DG11#5 Bed#233989#0#0.0
DG12#5 Bed#320500#0#0.0
DG2#5 Bed#335642#0#0.0
DG4#5 Bed#270000#0#0.0
DG7#5 Bed#282692#0#0.0
DG8#5 Bed#256106#0#0.0
