CV4#2 Bed#201796#1040#6.0
DD10#2 Bed#101424#542#6.0
DD11#2 Bed#105500#608#6.0
DD9#2 Bed#102650#550#6.0
DE14#2 Bed#104714#577#6.0
DG11#2 Bed#120458#702#6.0
DG12#2 Bed#91464#459#6.0
DG9#2 Bed#103731#576#6.0
DH4#2 Bed#86599#450#6.0
DH6#2 Bed#82230#420#6.0
DH7#2 Bed#85872#431#6.0
DL14#2 Bed#69022#362#6.0
DL15#2 Bed#69833#379#6.0
DL16#2 Bed#75128#423#6.0
DL3#2 Bed#73591#415#6.0
DL5#2 Bed#85922#490#6.0
DN1#2 Bed#90902#459#6.0
DN12#2 Bed#93832#472#6.0
DN31#2 Bed#80796#423#6.0
DN34#2 Bed#104488#550#6.0
DN41#2 Bed#100000#524#6.0
DN5#2 Bed#100560#531#6.0
DN6#2 Bed#101458#511#6.0
DN8#2 Bed#102053#516#6.0
EC4A#2 Bed#845000#4767#6.0
EC4M#2 Bed#845000#4767#6.0
EC4N#2 Bed#845000#4767#6.0
EC4R#2 Bed#845000#4767#6.0
EC4V#2 Bed#845000#4767#6.0
EC4Y#2 Bed#845000#4767#6.0
EH13#2 Bed#165000#949#6.0
EH17#2 Bed#145000#776#6.0
EH26#2 Bed#135000#750#6.0
EH28#2 Bed#160000#849#6.0
EH42#2 Bed#126713#702#6.0
EH47#2 Bed#106500#550#6.0
EH49#2 Bed#152498#793#6.0
FK7#2 Bed#112500#598#6.0
FY2#2 Bed#117621#600#6.0
FY4#2 Bed#106663#566#6.0
G12#2 Bed#179995#949#6.0
G15#2 Bed#120875#676#6.0
G5#2 Bed#155000#793#6.0
G52#2 Bed#103750#550#6.0
G67#2 Bed#87686#494#6.0
G74#2 Bed#125499#693#6.0
G83#2 Bed#160376#802#6.0
HD1#2 Bed#93650#475#6.0
HD2#2 Bed#84808#439#6.0
HU3#2 Bed#67246#381#6.0
HU5#2 Bed#83543#442#6.0
HU8#2 Bed#80787#449#6.0
HX1#2 Bed#77273#421#6.0
HX5#2 Bed#98999#524#6.0
HX6#2 Bed#108530#549#6.0
IP32#2 Bed#169000#947#6.0
KA12#2 Bed#78409#425#6.0
KA18#2 Bed#89056#451#6.0
KY1#2 Bed#110622#574#6.0
KY11#2 Bed#117120#594#6.0
KY12#2 Bed#129391#680#6.0
KY5#2 Bed#81599#451#6.0
KY7#2 Bed#111431#576#6.0
KY8#2 Bed#90635#514#6.0
L13#2 Bed#92992#470#6.0
L26#2 Bed#112369#582#6.0
L36#2 Bed#97847#532#6.0
L5#2 Bed#95360#520#6.0
L6#2 Bed#83747#458#6.0
L7#2 Bed#87857#467#6.0
LA14#2 Bed#82944#474#6.0
LL18#2 Bed#112615#598#6.0
LL41#2 Bed#112412#594#6.0
LS10#2 Bed#118176#637#6.0
LS12#2 Bed#116838#588#6.0
LS14#2 Bed#136912#726#6.0
M12#2 Bed#117768#644#6.0
M14#2 Bed#150817#757#6.0
M19#2 Bed#137500#717#6.0
M24#2 Bed#111414#618#6.0
M27#2 Bed#125000#645#6.0
M38#2 Bed#96163#524#6.0
M40#2 Bed#113174#568#6.0
M46#2 Bed#100181#509#6.0
M8#2 Bed#116236#667#6.0
M9#2 Bed#102841#589#6.0
ME12#2 Bed#144985#764#6.0
ML1#2 Bed#84083#487#6.0
ML8#2 Bed#89894#506#6.0
NE17#2 Bed#77187#390#6.0
NE26#2 Bed#165693#949#6.0
NE6#2 Bed#111303#611#6.0
NE62#2 Bed#87791#491#6.0
NE9#2 Bed#116854#605#6.0
NG7#2 Bed#132076#662#6.0
NP22#2 Bed#71988#399#6.0
OL10#2 Bed#105316#543#6.0
OL11#2 Bed#89750#518#6.0
OL13#2 Bed#80994#464#6.0
OL8#2 Bed#91241#523#6.0
PA6#2 Bed#115000#650#6.0
PA7#2 Bed#126000#702#6.0
PO1#2 Bed#176535#938#6.0
PO3#2 Bed#147269#823#6.0
RG14#2 Bed#277929#1487#6.0
S11#2 Bed#115000#598#6.0
S44#2 Bed#102113#526#6.0
S5#2 Bed#92006#510#6.0
S65#2 Bed#80767#421#6.0
S70#2 Bed#75530#437#6.0
S73#2 Bed#79343#425#6.0
S9#2 Bed#86962#474#6.0
SA5#2 Bed#90927#512#6.0
SA6#2 Bed#96340#497#6.0
SA71#2 Bed#105515#542#6.0
SK1#2 Bed#129327#678#6.0
SK16#2 Bed#108225#546#6.0
SR2#2 Bed#79806#465#6.0
SR4#2 Bed#81222#469#6.0
SR5#2 Bed#83603#457#6.0
ST1#2 Bed#76639#436#6.0
TD14#2 Bed#102000#524#6.0
TN31#2 Bed#178995#901#6.0
TN37#2 Bed#146342#839#6.0
TR14#2 Bed#132486#700#6.0
TR8#2 Bed#124059#624#6.0
TR9#2 Bed#135830#683#6.0
TS13#2 Bed#77623#403#6.0
TS17#2 Bed#75086#428#6.0
TS19#2 Bed#93253#474#6.0
TS27#2 Bed#69357#350#6.0
TS3#2 Bed#67731#374#6.0
W9#2 Bed#700000#3756#6.0
WA10#2 Bed#87738#495#6.0
WA2#2 Bed#100989#582#6.0
WA7#2 Bed#102088#522#6.0
WA8#2 Bed#103226#521#6.0
WA9#2 Bed#87798#452#6.0
WN2#2 Bed#90917#458#6.0
WN7#2 Bed#87910#457#6.0
WS1#2 Bed#100693#563#6.0
WV2#2 Bed#112894#582#6.0
AB12#2 Bed#157499#714#5.0
AB22#2 Bed#155989#776#5.0
AB23#2 Bed#150000#676#5.0
AB25#2 Bed#175000#758#5.0
AB38#2 Bed#100000#498#5.0
AB41#2 Bed#150000#686#5.0
AB42#2 Bed#135950#664#5.0
AB51#2 Bed#146052#723#5.0
AB54#2 Bed#122332#524#5.0
AL7#2 Bed#265714#1125#5.0
B11#2 Bed#127912#620#5.0
B13#2 Bed#175000#865#5.0
B19#2 Bed#120967#598#5.0
B20#2 Bed#117279#585#5.0
B23#2 Bed#143526#635#5.0
B24#2 Bed#163333#699#5.0
B26#2 Bed#169184#722#5.0
B27#2 Bed#164619#687#5.0
B29#2 Bed#161513#700#5.0
B31#2 Bed#143408#669#5.0
B32#2 Bed#144695#651#5.0
B33#2 Bed#136443#655#5.0
B34#2 Bed#146383#687#5.0
